Register Field Name,CSV Field Name,API Field Name,HESA Alignment,Code,Label,Data Source,Academic Year,Status
Awarding Institution,Awarding Institution,institution,DEGEST,0292,City and Guilds of London Art School,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0293,Cliff College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0294,University College of Estate Management,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0295,Waverley Abbey College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0297,ICOM,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0298,The Islamic College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0299,Istituto Marangoni Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0300,Kaplan Open Learning,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0301,KLC School of Design,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0302,Kogan Academy of Dramatic Arts,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0304,London Film School Limited,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0306,Luther King House Educational Trust,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0307,Open College of the Arts,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0308,Oxford Business College,HESA,25/26,No Change
